,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,Session_trial,Reward,Prop_pred_reward_trial
6,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_4,1.0,0.23076923076923078
7,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_5,0.0,1.0
8,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_6,0.0,1.0
9,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_7,1.0,0.9743589743589743
10,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_8,0.0,0.6153846153846154
11,Clonidine,83,0.8746153846153846,0.4829059829059829,0.8162393162393162,0.7799145299145299,0.75,0.5833333333333334,9_9,1.0,0.0
0,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_1,0.0,1.0
1,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_10,1.0,1.0
2,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_11,0.0,1.0
3,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_12,1.0,1.0
4,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_2,1.0,1.0
5,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_3,0.0,1.0
6,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_4,1.0,1.0
7,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_5,1.0,1.0
8,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_6,0.0,1.0
9,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_7,1.0,1.0
10,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_8,1.0,1.0
11,Clonidine,F4,0.8,0.5833333333333334,1.0,1.0,0.7916666666666666,0.5833333333333334,9_9,0.0,1.0
